작가명,경매일,작품정보,추정가,낙찰가,차액
유희강 柳熙綱,2025.02.20,영수가복 永受嘉福 | 종이에 먹 | 32x128cm | 진주 晋州,"500,000 - 1,200,000","900,000","400,000"
김충현 金忠顯,2025.02.20,심정흥장 心靜興長 | 1996년(병자) | 종이에 먹 | 34x136cm | 안동 安東/서경 恕卿,"500,000 - 1,200,000",낙찰 X,N/A
"김응현 金膺顯 서, 방철주 方澈柱 도자",2025.02.20,용비어천가 龍飛御天歌 제 2장 | 1976년(병인) | 청자에 안료 | 28.4x6.2x11cm | 안동 安東/선경 善卿,"500,000 - 1,200,000","800,000","300,000"
유희강 柳熙綱,2025.02.20,반곡 盤谷·망천 輞川 대련 | 종이에 먹 | 128.6x21.5cmx2 | 진주 晋州,"1,500,000 - 3,500,000","1,700,000","200,000"
퇴경 상로 退耕 相老,2025.02.20,각지일표래 各持一瓢來 | 종이에 먹 | 14.5x50cm | 안동 安東,"400,000 - 1,000,000",낙찰 X,N/A
경봉 정석 鏡峰 靖錫,2025.02.20,서산대사 선시 西山大師 禪詩 | 종이에 먹 | 32x42.3cm | 광주 光州,"500,000 - 1,300,000","2,000,000","1,500,000"
이철경 李喆卿,2025.02.20,그리운 날 : 가람 이병기 嘉藍 李秉岐 시 | 종이에 먹 | 90.7x33.2cm | 한산 韓山,"500,000 - 1,400,000","1,100,000","600,000"
서희환 徐喜煥,2025.02.20,. | 1986년 | 종이에 먹 | 125.2x30.6cm | 이천利川,"800,000 - 2,000,000","1,300,000","500,000"
이갑성 李甲成,2025.02.20,보산정 寶山亭 | 1958년(무술) | 종이에 먹 | 39.5x101.7cm | 경주 慶州,"1,000,000 - 2,500,000","1,000,000",0
서희환 徐喜煥,2025.02.20,보람 | 1988년 | 종이에 먹 | 33.2x61.4cm | 이천 利川,"500,000 - 1,400,000","900,000","400,000"
유희강 柳熙綱,2025.02.20,답사마승정상검경 答司馬承禎上劍鏡 | 종이에 먹 | 132x39.5cm | 진주 晋州,"500,000 - 1,200,000",낙찰 X,N/A
이기우 李基雨,2025.02.20,시고 詩稿 | 종이에 먹 | 118x30.5cm | 전주 全州/태섭 兌燮/,"300,000 - 700,000","450,000","150,000"
김충현 金忠顯,2025.02.20,매란국연화사 梅蘭菊蓮花詞 : 담원 정인보 薝園 鄭寅普 시 | 1967년(정미) | 종이에 먹 | 124.8x30.5cmx10 | 안동 安東/서경 恕卿,"10,000,000 - 28,000,000","14,000,000","4,000,000"
김응현 金膺顯,2025.02.20,파교청설 灞橋晴雪 : 율곡 이이 栗谷 李珥 시 | 1987년(정묘) | 종이에 먹 | 69x544cm | 안동 安東/선경 善卿,"2,500,000 - 5,000,000","5,500,000","3,000,000"
손재형 孫在馨,2025.02.20,팔마유풍 八馬遺風 | 1961년(신축) | 종이에 먹 | 130.5x46.6cm | 밀양 密陽,"8,000,000 - 30,000,000","16,000,000","8,000,000"
권동수 權東壽,2025.02.20,와당종정문팔곡병 瓦當鐘鼎文八曲屛 | 1890년(경인) | 종이에 먹 | 123x33.6cmx8 | 안동 安東/치영 致永,"3,000,000 - 6,000,000","8,500,000","5,500,000"
오세창 吳世昌,2025.02.20,시고 詩稿 | 종이에 먹 | 123.3x32cm | 해주 海州/중명 仲銘,"500,000 - 1,300,000",낙찰 X,N/A
유창환 兪昌煥,2025.02.20,갱결 更結·경일 竟日 대련 | 종이에 먹 | 92x10.8cmx2 | 기계 杞溪,"500,000 - 1,200,000",낙찰 X,N/A
김옥균 金玉均,2025.02.20,시고 詩稿 | 종이에 먹 | 129.4x35.2cm | 안동 安東/백온 伯溫,"1,500,000 - 3,000,000","1,900,000","400,000"
오세창 吳世昌,2025.02.20,시고 詩稿 | 1905년(을사) | 종이에 먹 | 134x61cm | 해주 海州/중명 仲銘,"700,000 - 1,500,000",낙찰 X,N/A
김정희 金正喜,2025.02.20,천하괴석 天下怪石 : 탁본 | 종이에 탁본 | 23.2x111.2cm | 경주 慶州/원춘 元春,"500,000 - 1,400,000","500,000",0
김정희 金正喜,2025.02.20,"시고 詩稿 : 편액 | 나무에 서각, 채색 | 38.5x114.5cm | 경주 慶州/원춘 元春","1,500,000 - 3,000,000","4,400,000","2,900,000"
오세창 吳世昌,2025.02.20,근역서화징 槿域書畵徵 초고 | 종이에 먹 | 24x16.1cm | 해주 海州/중명 仲銘,"15,000,000 - 30,000,000","15,000,000",0
김구 金九,2025.02.20,시종여일 始終如一 | 1948년(무자) | 종이에 먹 | 32.4x131cm | 안동 安東,"10,000,000 - 25,000,000","11,500,000","1,500,000"
김정희 金正喜,2025.02.20,서간 書簡 8점 | 종이에 먹 | 33x50cm 외 (8건) | 경주 慶州/원춘 元春,"4,000,000 - 9,000,000",낙찰 X,N/A
정약용 丁若鏞,2025.02.20,시고 詩稿 | 종이에 먹 | 23x51.5cm | 나주 羅州/미용 美鏞,"5,000,000 - 13,000,000","5,000,000",0
김상숙 金相肅,2025.02.20,귀거래사 歸去來辭 | 1789년 | 종이에 먹 | 30x671.8cm | 광산 光山/계윤 季潤,"10,000,000 - 23,000,000",낙찰 X,N/A
윤순 尹淳,2025.02.20,서간 書簡 | 1709년(기축) | 종이에 먹 | 21.5x40.5cm | 해평 海平/중화 仲和,"500,000 - 1,300,000",낙찰 X,N/A
이삼만 李三晩,2025.02.20,시고 詩稿 | 종이에 먹 | | 전주 全州/윤원 允遠,"300,000 - 800,000",낙찰 X,N/A
윤순 尹淳,2025.02.20,백하진첩 白下眞帖 | 종이에 먹 | 31.8x19.3cm(42면) | 해평 海平/중화 仲和,"1,000,000 - 3,000,000","1,000,000",0
김태석 金台錫,2025.02.20,공제수역 共濟壽域 : 이승만 李承晩 박사께 | 1946년(병술) | 종이에 먹 | 33.3x133.3cm | 경주 慶州,"1,000,000 - 2,500,000","1,000,000",0
박정희 朴正熙,2025.02.20,공정중립 公正中立 | 종이에 먹 | 63.2x32.5cm | 고령 高靈,"6,000,000 - 18,000,000",낙찰 X,N/A
근원수필 近園隨筆 : 우현 송영방 牛玄 宋榮邦 구장본,2025.02.20,| 1948년 | 17.7x12.4cm,"500,000 - 1,500,000","600,000","100,000"
김규동 金奎東,2025.02.20,만복래 萬福來 | 1982년(임술) | 종이에 먹 | 20.4x16.5cm | 전주 全州,"300,000 - 700,000",낙찰 X,N/A
김윤동 金潤東 외,2025.02.20,보인계첩 輔仁契帖 | 종이에 먹·수묵 | 24.3x27cm(25면) | 안동 安東,"1,000,000 - 2,500,000","1,000,000",0
고희동 高羲東 외 5인,2025.02.20,청아 淸雅 : 합작 | 1943년 | 종이에 수묵담채 | 30x77.4cm | 제주 濟州,"600,000 - 1,500,000","600,000",0
안중식 安中植,2025.02.20,산수 山水 대련 | 종이에 수묵담채 | 122x29.7cmx2 | 순흥 順興/공립 公立,"3,500,000 - 8,000,000","3,500,000",0
이상범 李象範,2025.02.20,전적벽부 前赤壁賦 | 1953년(계사) | 종이에 수묵담채 | 18x33.5cm | 전주 全州,"3,500,000 - 8,000,000",낙찰 X,N/A
이상범 李象範,2025.02.20,추강귀어 秋江歸魚 : 선면 | 1963년(계묘) | 종이에 수묵담채 | 13x50cm | 전주 全州,"2,500,000 - 5,500,000","2,500,000",0
이용우 李用雨,2025.02.20,해경 海景 | 종이에 수묵담채 | 17x46cm | 경주 慶州/창윤 蒼潤,"700,000 - 1,500,000","800,000","100,000"
박노수 朴魯壽,2025.02.20,미인 美人 | 1981년(신유) | 종이에 수묵담채 | 68.5x68.5cm | 밀양 密陽,"5,000,000 - 13,000,000","5,800,000","800,000"
이한복 李漢福,2025.02.20,괴석 怪石 : 석전 박한영 石顚 朴漢永(1870-1948) 스님께 | 1925년(을축) | 종이에 수묵담채 | 133x31.5cm | 전의 全義,"600,000 - 1,500,000","1,600,000","1,000,000"
작가미상,2025.02.20,오동폐월 梧桐吠月 | 종이에 수묵담채 | 118.1x35cm,"1,500,000 - 3,000,000",낙찰 X,N/A
