name,size,estimate,final_price
토기 방울잔,16.5×8.3×7.5㎝,"1,500,000","2,200,000"
와당 7점,총 7점 일괄,"300,000","350,000"
회령요 수반,13×24×9㎝,"2,500,000","2,500,000"
오지 어문소주...,46.5×20×27㎝,"500,000","500,000"
오지 굴뚝,127㎝,"500,000","500,000"
제주 오지 항...,70×35×33㎝,"400,000","400,000"
분청 '예빈'...,8.5×17.5×5.5㎝,"300,000","800,000"
청자음각 딸기...,8.7×19.5×5.5㎝,"5,000,000","5,500,000"
청자 화형잔,4.5×11.5×5.5㎝,"800,000","800,000"
청자상감 운문...,5.5×11×4㎝,"800,000","800,000"
청자상감퇴화 ...,5.5×5×8.5㎝,"1,500,000","1,500,000"
청자상감양각 ...,3.5×14×8.5㎝,"1,000,000","1,000,000"
분청상감 운학...,11.5×4×4㎝,"600,000","800,000"
백자 포도다람...,16×10.5×9.5㎝,"1,000,000","1,100,000"
백자청화 난국...,29×4.5×12.3㎝,"500,000","500,000"
백자 누비문병,13.3×3.6×8.5㎝,"3,000,000","6,900,000"
오채 칠보문잔...,4.7×8×4㎝,"500,000","600,000"
백자 모사기 ...,"①9×13×8㎝, ②9×15×9㎝","1,200,000","1,200,000"
백자청화 팔괘...,3×7×5㎝,"1,000,000",
백자청화 연화...,"①15.3㎝, ②14.6㎝, ③14.3㎝, ④13.3㎝, ⑤13.5㎝","12,500,000",
백자 마상배,7.5×9×3㎝,"600,000","600,000"
분청 귀얄문마...,9.5×11.5×3.5㎝,"300,000",
청자 원숭이인...,5×2.1×2.1㎝,"3,000,000","3,000,000"
백자 사자인장,6.5×3.5×3.5㎝,"1,000,000","1,700,000"
청자상감진사 ...,41×6.5×18㎝,"400,000","400,000"
도자기 소품 ...,총 41점 일괄,"400,000",
분청 송학문호,33.5×16×13㎝,"1,000,000","1,100,000"
화훼문 연회상,35×65×99.5㎝,"400,000","400,000"
제판,5×42.5×100.5㎝,"300,000",
나전칠기 죽문...,28×8.5×17㎝,"300,000","350,000"
주칠나전 화조...,6.5×23×29㎝,"300,000","300,000"
부적판(마고 ...,36×12㎝,"1,500,000",
능화판(양면),53.5×29㎝,"500,000","500,000"
목판(삼존불),13.5×29.5㎝,"400,000",
현판('하해문...,"하해문장-29×80㎝, 홍도촌사-27.2×108㎝","1,000,000","1,000,000"
목각 십이지 ...,116×53㎝,"700,000","700,000"
나전칠기 비천...,47.5×112.5㎝,"300,000","300,000"
경기도 석조 ...,"①134㎝, ②129㎝","3,500,000","3,500,000"
석조 호랑이,24×8×34㎝,"300,000","800,000"
목조 연화 장...,61×14×30㎝,"700,000",
목조 봉두,51㎝,"300,000","300,000"
목조 아낙네인...,"①29.5㎝, ②24.5㎝","300,000",
청동 방울목걸...,"목걸이-64㎝, 팔찌-7㎝","2,000,000","2,000,000"
청동 도철문양...,19×7.5×9.5㎝,"2,000,000","2,000,000"
유기 불기 3...,"①24.5×36.3×25㎝, ②24×37.5×24㎝, ③18×33.5×21㎝","300,000",
천마총 금제 ...,61×99.5㎝,"300,000","400,000"
비녀 23점,71×112㎝(Frame),"5,500,000",
"칠보 노리개,...",총 6점 일괄,"1,000,000",
뒤꽂이 14점,총 14점 일괄,"1,000,000",
