날짜,제목,작가,생존여부,연도,재료,크기,추정가,낙찰가
2025-02-27,송신학성,심전 안중식,사망,1915,종이에 수묵채색,15.5×50㎝,"2,000,000","2,000,000"
2025-02-27,지란도,해강 김규진,사망,null,종이에 수묵담채,23.5×35.7㎝,"1,000,000","1,000,000"
2025-02-27,은어도,무호 이한복,사망,null,종이에 수묵담채,26x23cm,"1,000,000",N/A
2025-02-27,일모귀래,송석 이교익,사망,null,종이에 수묵담채,24×31.2㎝,"2,000,000","2,000,000"
2025-02-27,선유도,소치 허련,사망,null,종이에 수묵담채,24.5×32㎝,"3,000,000","3,000,000"
2025-02-27,묵란도,우봉 조희룡,사망,null,종이에 수묵,23.2×34.7㎝,"8,000,000","10,500,000"
2025-02-27,서첩,원교 이광사,사망,null,종이에 먹,전체_35.7×21㎝글_28.8×16.5㎝,"2,000,000",N/A
2025-02-27,죽호도,소초,null,null,비단에 수묵담채,103.8×32.3㎝,"5,000,000","5,000,000"
2025-02-27,죽호도,희원 이한철,사망,null,비단에 수묵담채,92×42.2㎝,"15,000,000","22,000,000"
2025-02-27,송하맹호도,null,null,null,종이에 수묵담채,107×54.8㎝,"10,000,000","13,000,000"
2025-02-27,-,null,null,null,,N/A,,N/A
2025-02-27,삼도,설봉 김의신,사망,null,종이에 먹,28×57㎝,"20,000,000","56,000,000"
2025-02-27,묵향다심권,跋_슌덴 슈코畵_혜산 유숙書_소당 김석준 외,사망,null,종이에 먹종이에 수묵담채,전체_25×1380㎝그림_25×92㎝,"150,000,000","185,000,000"
2025-02-27,설봉서첩,書_설봉 김의신畵_연담 김명국,사망,1663,종이에 먹종이에 수묵,첩_32.2×26㎝(그림_32.2×24.6㎝),"300,000,000","300,000,000"
2025-02-27,묵란도 대련,석파 이하응,사망,1874,종이에 수묵,각 118×27.2㎝,"30,000,000",N/A
2025-02-27,안중식 인보 외,심전 안중식,사망,null,종이에 먹,첩_23.7×17.5㎝,"5,000,000","5,000,000"
2025-02-27,천문유초,null,null,null,필사본,39.5×21.7㎝,"5,000,000",N/A
2025-02-27,어촌해사,표암 강세황,사망,null,종이에 먹,21.9×28.5㎝,"5,000,000","5,000,000"
2025-02-27,누변선유도,시산 유운홍,사망,null,종이에 수묵담채,22.7×26.5㎝,"15,000,000","25,000,000"
